id,address,number,municipality,latitude,longitude,postal_code,province
5452.0,Rue St ROCH,25,Huy,50.51138015,5.181134210169928,4500.0,Liège
5454.0,Rue de la Forge ,31,Leuze-en-Hainaut,50.5665433,3.603711886643026,7900.0,Hainaut
5456.0,Rue Bernard Hecquet ,22,Stambruges,50.5073928,3.7209464,7972.0,Hainaut
5459.0,Rue Joseph Wauters ,1,Beloeil,50.52068745,3.6803557886418616,7972.0,Hainaut
5460.0,Rue Joseph Wauters ,20,Beloeil,50.52058975,3.6813154769508234,7972.0,Hainaut
5461.0,Grand Place ,1,Quaregnon,50.44351415,3.8645370217411106,7390.0,Hainaut
5463.0,Rue de la Chapelle,0,Quaregnon,50.4374281,3.8595261,7390.0,Hainaut
5464.0,Rue Louis Blanqui ,251,Quaregnon,50.4194243,3.8630067,7390.0,Hainaut
5465.0,Rue des Tisserands ,24,Bruxelles,50.85914165,4.331470736420192,1080.0,Bruxelles-Brussel
5466.0,Uilenbaan,80,Wommelgem,51.212860500000005,4.512170574468087,2160.0,Antwerpen
5467.0,Krijgsbaan,247,Temse,51.12812005000001,4.247297205438162,9140.0,Oost-Vlaanderen
5469.0,Rue du Marais,0,Durbuy,50.3469028,5.4858932,6940.0,Luxembourg
5470.0,Avenue Léopold Wiener,60,Bruxelles,50.8064285,4.409001649778105,1170.0,Bruxelles-Brussel
5471.0,Avenue Léopold Wiener ,60,Bruxelles,50.8064285,4.409001649778105,1170.0,Bruxelles-Brussel
5472.0,Leuvensesteenweg ,605,Zaventem,50.8754841,4.4948186,1930.0,Vlaams-Brabant
5475.0,Kiewitstraat ,194,Hasselt,50.9518686,5.361138986823322,3500.0,Limburg
5476.0,Avenue Jules Bordet,166,Brussel,50.87024435,4.418219301693666,1140.0,Bruxelles-Brussel
5477.0,Koning Albert straat,0,Hasselt,51.0077806,5.5032672,3500.0,Limburg
5478.0,Sint-Maartensdal ,4,Leuven,50.8844661,4.85290599788872,3000.0,Vlaams-Brabant
5479.0,Stationsstraat ,37,Ternat,50.8845045,4.111591,1740.0,Vlaams-Brabant
5480.0,Stationsstraat,35,Ternat,50.8845045,4.111591,1740.0,Vlaams-Brabant
5481.0,Avenue du Centenaire ,400,Ougrée,50.58424925,5.54728055814471,4102.0,Liège
5483.0,Koning Boudewijnlaan ,12,Hasselt,51.01258755,5.490308718241785,3500.0,Limburg
5484.0,Liersesteenweg,1,Mortsel,51.1707783,4.4570957,2640.0,Antwerpen
5485.0,Gemeenteplein,4,Mortsel,51.1703092,4.450331218312966,2640.0,Antwerpen
5486.0,Drabstraat,47,Mortsel,51.17174635,4.46394296322535,2640.0,Antwerpen
5487.0,Brugmannlaan ,577,Brussel,50.8013565,4.338464443283586,1180.0,Bruxelles-Brussel
5489.0,Industrieweg ,1,Boom,51.094807349999996,4.3591929536606795,2850.0,Antwerpen
5490.0,Avenue Jules Bordet ,168,Bruxelles,50.8699693,4.418454135941714,1140.0,Bruxelles-Brussel
5492.0,Rue du Bosquet,3,Nivelles,50.559912600000004,4.5551007350681285,1400.0,Brabant Wallon
5493.0,Hof Ter Hillestraat,12,Oostduinkerke,51.1179298,2.696684,8670.0,West-Vlaanderen
5494.0,Brouwerij,1,Dentergem,50.9465223,3.4012383595359914,8720.0,West-Vlaanderen
5495.0,Meulebekesteenweg,7,Dentergem,50.96681705,3.414855473476975,8720.0,West-Vlaanderen
5496.0,Alfons De Cockstraat ,12,Herdersem,50.9735409,4.0654664,9310.0,Oost-Vlaanderen
5497.0,Place Abbé Goffinet,22,Musson,49.55788585,5.70425270968865,6750.0,Luxembourg
5498.0,Chaussée de Waterloo ,890,Bruxelles,50.804217449999996,4.373156818494655,1000.0,Bruxelles-Brussel
5499.0,Rue de la Poste,7,Cerfontaine,50.1693075,4.412685176249784,5630.0,Namur
5501.0,Chemin du Peiffeschoff,111,Arlon,49.6975803,5.844376056764066,6700.0,Luxembourg
5502.0,Place en Piconrue,6,Bastogne,50.0059561,5.7214413,6600.0,Luxembourg
5503.0,Rue Terre à Briques,29,Tournai,50.614321700000005,3.3328230512329897,7522.0,Hainaut
5505.0,Humbeeksesteenweg ,98,Grimbergen,50.9392233,4.409392645597617,1850.0,Vlaams-Brabant
5506.0,Eppegemsesteenweg ,0,Grimbergen,50.9488336,4.4159391,1850.0,Vlaams-Brabant
5507.0,Eppegemsesteenweg ,0,Grimbergen,50.9488336,4.4159391,1850.0,Vlaams-Brabant
5508.0,Industrieweg,16,Grimbergen,50.94295015,4.41223146691012,1850.0,Vlaams-Brabant
5509.0,Avenue des Hannetons ,50,Bruxelles,50.80997945,4.409650552909516,1170.0,Bruxelles-Brussel
5510.0,Rue de la Heid ,8,Aywaille,50.476343,5.676968377686867,4920.0,Liège
5511.0,Rue Nicolas Lambercy,7,Aywaille,50.4727858,5.676079083349027,4920.0,Liège
5512.0,Avenue de la Libération ,2,Aywaille,50.4763687,5.6755236,4920.0,Liège
5513.0,Avenue François Cornesse ,63,Aywaille,50.4745616,5.675149,4920.0,Liège
5515.0,Rue de l Ecole,2,Aywaille,50.4690559,5.735496576152905,4920.0,Liège
5516.0,Rue de Louveigné,3,Aywaille,50.4800626,5.712314216559141,4920.0,Liège
5517.0,Rue Ladry ,25,Aywaille,50.4827894,5.7039128586378025,4920.0,Liège
5518.0,Rue Havelange,0,Aywaille,50.4394785,5.7086628,4920.0,Liège
5519.0,Rue de l Aéropostale,11,Grâce-Hollogne,50.6535109,5.4799782,4460.0,Liège
5520.0,Rue de l Aéropostale ,11,Grâce-Hollogne,50.6535109,5.4799782,4460.0,Liège
5521.0,Houtstraat,3,Oevel,51.13282905,4.928937150119287,2260.0,Antwerpen
5524.0,Gistelsesteenweg ,2,Oudenburg,51.16473405,3.015067820325534,8460.0,West-Vlaanderen
5525.0,Brugsesteenweg,85,Oudenburg,51.1647258,3.0157043,8460.0,West-Vlaanderen
5526.0,Marialoopsteenweg,51,Meulebeke,50.9640663,3.325234689838483,8760.0,West-Vlaanderen
5527.0,Pastoor Bungenerslaan,34,Achel,51.258289500000004,5.479360404497394,3930.0,Limburg
5528.0,Jan van Gentstraat ,7,Antwerpen,51.2054736,4.3876204,2000.0,Antwerpen
5532.0,Nieuwmoerse Steenweg ,113,Wuustwezel,51.405064949999996,4.543808738077629,2990.0,Antwerpen
5533.0,Hermesstraat ,4,Nossegem,50.8761845,4.503692,1930.0,Vlaams-Brabant
5534.0,Koekoekstraat,2,Gooik,50.7947398,4.114258574704661,1755.0,Vlaams-Brabant
5535.0,Rue de la Loi,227,Brussel,50.8419155,4.3852222,1000.0,Bruxelles-Brussel
5537.0,Technologiepark ,1,Zwijnaarde,51.0109506,3.7111962,9052.0,Oost-Vlaanderen
5538.0,Grensstraat  ,7,Machelen,50.8815812,4.45049771801577,1830.0,Vlaams-Brabant
5539.0,Rietschoorvelden,20,Merksem,51.2471345,4.428237567691923,2170.0,Antwerpen
5540.0,Graankaai ,4,Roeselare,50.9443814,3.1561802,8800.0,West-Vlaanderen
5541.0,Léon Monnoyerkaai ,11,Brussel,50.8833926,4.3800206,1000.0,Bruxelles-Brussel
5542.0,Léon Monnoyerkaai ,11,Brussel,50.8833926,4.3800206,1000.0,Bruxelles-Brussel
5543.0,Industriestraat,16,Lummen,51.0100796,5.2382852,3560.0,Limburg
5545.0,Avenue de Tervuren,168,Bruxelles,50.8372772,4.410431,1150.0,Bruxelles-Brussel
5546.0,Avenue de Tervuren,188,Bruxelles,50.837215,4.411280825913226,1150.0,Bruxelles-Brussel
5548.0,Everdongenlaan ,6,Turnhout,51.302599349999994,4.946396399070569,2300.0,Antwerpen
5549.0,De Munt ,8,Roeselare,50.9465339,3.1240041,8800.0,West-Vlaanderen
5550.0,Rue de l Industrie ,127,Seraing,50.6110947,5.506228504773019,4100.0,Liège
5551.0,Rue de l Industrie ,127,Seraing,50.6110947,5.506228504773019,4100.0,Liège
5552.0,Avenue du Centenaire,250,Ougrée,50.58565975,5.546781804110093,4102.0,Liège
5554.0,Nieuwstraat ,78,De,50.86220455,6.080628187527057,9840.0,Oost-Vlaanderen
5555.0,Sportstraat),3,Waarschoot,51.1534946,3.6096713,9950.0,Oost-Vlaanderen
5558.0,Avenue Léopold Wiener ,60,Bruxelles,50.8064285,4.409001649778105,1170.0,Bruxelles-Brussel
5559.0,Rue de Couillet ,487,Châtelet,50.397682950000004,4.497219931054586,6200.0,Hainaut
5560.0,Woluwedal ,30,Sint-Stevens-Woluwe,50.8608529,4.4514718,1932.0,Vlaams-Brabant
5562.0,Rue Alphonse Gravis,51,Péronnes-lez-Binche,50.436645,4.149972492120179,7130.0,Hainaut
5563.0,Rue du Moulin Blanc ,11,Binche,50.416013,4.1677782,7130.0,Hainaut
5564.0,Buschbergerweg ,0,Eupen,50.6398739,6.027609,4700.0,Liège
5566.0,Rue du Miroir ,4,Mons,50.4547593,3.9533055,7000.0,Hainaut
5567.0,Rue des Passages,1,Mons,50.4578919,3.957033825795877,7000.0,Hainaut
5568.0,Rue des Arbalestriers,8,Mons,50.4556793,3.9596130943812557,7000.0,Hainaut
