latitude,longitude
51.2313808,4.415760569259355
51.20578655,4.4125131628702565
51.20655645,4.470777599595392
51.36386505,4.985064328803203
51.17445605,4.418109530366705
51.258890199999996,4.451460683174039
51.2975671,4.4888621
51.1581972,4.4091567
51.1850253,4.835565
51.313725,4.941307285430003
51.2745056,4.644915133470479
51.1590925,5.002823
51.13226185,4.563711030382116
51.05145589999999,4.475731222583679
51.01734385,4.558895396450215
51.0251238,3.7289814
51.0625472,3.72075589652915
51.0478493,3.7041996
51.1615693,4.149338737341046
51.02605405,4.113617040368655
50.9438525,4.054090046824072
50.93609375,4.01844614503614
50.77052655,3.8776493440285975
50.7536779,3.6011346
50.8636167,3.817120817084816
50.84329055,3.6020601336527114
51.19100385,3.532482586870543
51.2206641,3.1932500438585434
51.3264585,3.292349377123748
51.2187744,2.9319197
50.80156275,3.2648779487453705
51.0621977,2.6666211045081964
51.00235825,3.3226492824622547
50.9187716,3.1675507
51.07030985,3.0955879070103354
50.8653697,2.8966904
50.792904,3.122746390559333
50.823409850000004,5.185281484185678
50.92607995,5.341714991907178
51.04679255,5.315312289000383
50.9569981,5.518312351012494
51.1020831,5.7481087
50.78922255,5.483310954912156
51.212077,5.417082004126188
50.7359411,4.2257049
50.8771298,4.6678419
50.9275714,4.418553596286964
50.81088805,4.93348473336877
50.987049150000004,5.051519403584623
50.870316349999996,4.3862076830732715
50.8139588,4.2678206
50.8342232,4.3472462
50.8513316,4.4551643
50.8049108,4.3687686
50.8861241,4.3094423
50.8543377,4.360647
50.8158331,4.4000398
50.8259304,4.3783319
50.6682612,4.559533019377909
50.59525955,4.31578200556533
50.683604,4.3674634
50.47504615,4.426427729135334
50.477495,4.204887
50.4758207,4.2152598
50.4177777,3.8066892535416406
50.59967845,3.3852877583728427
50.748652,3.2223936
50.63447535,3.776606041064304
50.41129655,4.458381568821084
50.5822278,4.079035627229473
50.04475755,4.30973286395654
50.36272295,4.365670361066751
50.3459814,4.2608016
50.4348767,4.4409627
50.435117399999996,4.62737631334468
50.26488355,4.944172227146069
50.6150208,5.6180445
50.5813787,5.493559283995575
50.6477848,5.5378437
50.694729800000005,5.247830387400597
50.514286299999995,5.24023423299988
50.6279038,6.0302037
50.2771945,6.127362163285787
50.71556565,6.007128274807387
50.15913155,5.683117997075744
49.677371750000006,5.820147990174327
49.9279312,5.384295
50.2275362,5.3236537617447945
48.5874237,-2.5390162
50.454379,3.959974517788759
50.4138403,4.1644616
50.652152,5.576917
50.358172,4.883299
51.1054174,4.3687922
50.98642495,3.527572099276905
51.2236491,4.434875243824534
51.1872994,5.114833782091469
51.1013401,4.000928680511813
50.909904350000005,4.1960232981607835
51.2227905,2.9141473802180515
51.30780935,3.1243709608414965
50.9577754,5.5176081867695705
50.8334732,4.3459428
50.8356955,4.348180548778934
50.418054350000006,4.480988292575928
43.2191791,0.0794103
50.46758715,4.888018258908667
50.48717795,4.159502659732702
50.67472105,5.633435820464653
50.652037199999995,5.578166301817111
50.5822111,5.859296021079825
50.52142765,3.642524732536765
49.55264545,5.526048862749438
51.2155158,4.4437875
51.1788314,4.3619482
51.2328096,4.377237
51.3155156,4.3215063
51.2136226,4.4057177
51.319819,5.089912
51.3209834,4.8566561
51.1140555,4.6472462
51.4646726,4.4725507
51.0430641,4.815907
51.3120142,4.4243382
51.1276472,4.4539147
51.4095824,4.9965793
51.2333921,4.4929328
51.2055292,4.6456563
50.9072587,4.3923288
50.8155259,4.3416631
50.7305766,4.4948658
50.6601956,4.5671377
50.5407363,5.2847964
50.6797955,5.4715356
50.6635369,5.6889139
50.6372979,5.5669785
50.705059,5.6491165
50.5894263,5.5428587
50.4179964,4.4745926
50.412614,4.3768883
50.4698175,4.1279295
50.4910226,3.9336411
50.47713,3.8404351
51.0371352,5.1781604
50.8019177,5.3319635
50.8763364,5.6277626
51.132399,5.4425231
50.4760028,4.8473646
50.797913,3.7598829
50.9304366,3.6447316
51.0356587,3.7553518
51.0926251,4.1319059
51.0977887,3.8304982
50.9981308,3.7699959
50.98233,4.8234189
50.7434628,4.2404099
50.8696549,4.7243436
50.8785355,4.6953981
50.8680038,4.0983199
50.9061581,4.8857039
50.8798215,4.4727595
50.7786794,3.4490966
51.0023637,3.3234085
49.9279133,5.3682538
51.2053995,4.3971557
51.1709534,5.1755429
51.0960533,4.3547325
51.0838438,4.7363928
51.1873563,4.8403769
51.3880749,4.7422763
51.383289,4.478244
51.301117,4.734865
