id,reason,province,municipality
12371.0,not_available,Bruxelles-Brussel,Bruxelles
12372.0,not_available,Bruxelles-Brussel,Bruxelles
12373.0,not_available,Bruxelles-Brussel,Bruxelles
12374.0,not_available,Bruxelles-Brussel,Bruxelles
12375.0,not_available,Bruxelles-Brussel,Bruxelles
12376.0,not_available,Bruxelles-Brussel,Bruxelles
12377.0,not_available,Bruxelles-Brussel,Bruxelles
12378.0,not_available,Bruxelles-Brussel,Bruxelles
12379.0,not_available,Bruxelles-Brussel,Bruxelles
12380.0,not_available,Bruxelles-Brussel,Bruxelles
12381.0,not_available,Bruxelles-Brussel,Bruxelles
12382.0,not_available,Bruxelles-Brussel,Bruxelles
12383.0,not_available,Bruxelles-Brussel,Bruxelles
12384.0,not_available,Bruxelles-Brussel,Bruxelles
12385.0,not_available,Bruxelles-Brussel,Bruxelles
12386.0,not_available,Bruxelles-Brussel,Bruxelles
12387.0,not_available,Bruxelles-Brussel,Bruxelles
12393.0,not_available,Hainaut,Mons 
12398.0,not_available,Hainaut,FARCIENNES
12417.0,not_available,Liège,Liège
12458.0,not_available,Vlaams-Brabant,Roosdaal
12460.0,not_available,Oost-Vlaanderen,Sint-Martens-Latem
12461.0,not_available,Namur,Couvin
12476.0,not_available,Limburg,Diepenbeek
12477.0,not_available,Limburg,Hasselt
12478.0,not_available,Limburg,Hasselt
12479.0,not_available,Limburg,Hasselt
12480.0,not_available,Limburg,Oudsbergen
12481.0,not_available,Limburg,Oudsbergen
12482.0,not_available,Limburg,Tessenderlo
12483.0,not_available,Limburg,Maaseik
12484.0,not_available,Limburg,Houthalen
12508.0,not_available,Hainaut,Mons 
12532.0,not_available,Hainaut,Tournai
12537.0,not_available,Limburg,Hasselt
12539.0,not_available,West-Vlaanderen,Brugge
12560.0,not_available,Brabant Wallon,Nivelles
12564.0,not_available,Brabant Wallon,Jodoigne
12567.0,not_available,Brabant Wallon,Rixensart	
12569.0,not_available,Brabant Wallon,Tubize	
12572.0,not_available,Brabant Wallon,WAVRE-Nord
12573.0,not_available,Hainaut,Ghislenghein
12583.0,not_available,Brabant Wallon,Wauthier-Braine
912591.0,not_available,Limburg,Lanaken
912592.0,not_available,Limburg,Lanaken (Rekem)
912593.0,not_available,Limburg,Lanaken
912594.0,not_available,Limburg,Lanaken
102605.0,not_available,West-Vlaanderen,WIELSBEKE (Sint Baafs Vijve)
912609.0,not_available,Namur,Jambes 
12610.0,not_available,Namur,Jambes 
912613.0,not_available,Antwerpen,Wilrijk
12640.0,not_available,Bruxelles-Brussel,Evere
12646.0,not_available,Antwerpen,Mechelen
12647.0,not_available,Antwerpen,Antwerpen
12648.0,not_available,Bruxelles-Brussel,Ixelles
12649.0,not_available,Bruxelles-Brussel,Ixelles
12650.0,not_available,Vlaams-Brabant,Grimbergen
12651.0,not_available,Oost-Vlaanderen,Zelzate
12653.0,not_available,Oost-Vlaanderen,Wachtebeke
12654.0,not_available,Antwerpen,Wilrijk
12655.0,not_available,Bruxelles-Brussel,Brussel
12657.0,not_available,Bruxelles-Brussel,Brussel
12658.0,not_available,Bruxelles-Brussel,Brussel
12660.0,not_available,Antwerpen,Turnhout
12661.0,not_available,Antwerpen,Turnhout
12662.0,not_available,Oost-Vlaanderen,Gent
12663.0,not_available,Bruxelles-Brussel,Anderlecht
12664.0,not_available,Vlaams-Brabant,Aarschot
12665.0,not_available,Bruxelles-Brussel,Anderlecht
12666.0,not_available,Bruxelles-Brussel,Anderlecht
12667.0,not_available,Bruxelles-Brussel,Brussel
12670.0,not_available,Bruxelles-Brussel,Bruxelles
12672.0,not_available,Vlaams-Brabant,Lubbeek
12673.0,not_available,Antwerpen,Antwerpen
12674.0,not_available,Oost-Vlaanderen,Eeklo
12680.0,not_available,West-Vlaanderen,Zeebrugge
12709.0,not_available,Bruxelles-Brussel,Brussel
12715.0,not_available,Limburg,Halen
12716.0,not_available,Vlaams-Brabant,Heverlee
12717.0,not_available,Vlaams-Brabant,Merchtem
12718.0,not_available,Vlaams-Brabant,Merchtem
12719.0,not_available,Bruxelles-Brussel,Brussel
12720.0,not_available,Bruxelles-Brussel,Jette
12721.0,not_available,Bruxelles-Brussel,Brussel
12722.0,not_available,Bruxelles-Brussel,Brussel
12723.0,not_available,Bruxelles-Brussel,Anderlecht
12733.0,not_available,Antwerpen,Kontich
12734.0,not_available,Bruxelles-Brussel,Brussel
12735.0,not_available,Bruxelles-Brussel,Brussel
12737.0,not_available,Antwerpen,Wilrijk
12742.0,not_available,Oost-Vlaanderen,Dendermonde
12743.0,not_available,Oost-Vlaanderen,Gent
12744.0,not_available,Antwerpen,Merksem
12745.0,not_available,Antwerpen,Merksem
12746.0,not_available,Antwerpen,Antwerpen
12747.0,not_available,Oost-Vlaanderen,Gent
12748.0,not_available,Bruxelles-Brussel,Vorst
12749.0,not_available,Limburg,Hasselt
12750.0,not_available,Limburg,Hasselt
12757.0,not_available,Luxembourg,Libramont 
12758.0,not_available,Namur,Jambes 
102769.0,not_available,Oost-Vlaanderen,Oudenaarde
102770.0,not_available,Vlaams-Brabant,Bierbeek
102771.0,not_available,Oost-Vlaanderen,Sint-Niklaas
102772.0,not_available,Vlaams-Brabant,Itterbeek
102773.0,not_available,Antwerpen,Mechelen
102774.0,not_available,West-Vlaanderen,Avelgem
102775.0,not_available,Antwerpen,Antwerpen
102776.0,not_available,Vlaams-Brabant,Machelen
102777.0,not_available,Vlaams-Brabant,Vilvoorde
102778.0,not_available,Vlaams-Brabant,Vilvoorde
102780.0,not_available,Oost-Vlaanderen,Nevele
12784.0,not_available,Vlaams-Brabant,Bierbeek
12786.0,not_available,Oost-Vlaanderen,Desteldonk
12787.0,not_available,Vlaams-Brabant,Wemmel
12788.0,not_available,Vlaams-Brabant,Wemmel
12789.0,not_available,Oost-Vlaanderen,Oudenaarde
12795.0,not_available,Oost-Vlaanderen,Oudenaarde
102797.0,not_available,Bruxelles-Brussel,Brussel
912797.0,not_available,Bruxelles-Brussel,Brussel
12798.0,not_available,Oost-Vlaanderen,Moorsel
12799.0,not_available,Oost-Vlaanderen,Horebeke
12800.0,not_available,Vlaams-Brabant,Leuven
12821.0,not_available,Vlaams-Brabant,Heverlee
12822.0,not_available,Antwerpen,Wommelgem
12823.0,not_available,Antwerpen,Heist-op-den-Berg
12824.0,not_available,Vlaams-Brabant,Bierbeek
12825.0,not_available,Vlaams-Brabant,Steenokkerzeel
12826.0,not_available,Antwerpen,Oevel
12827.0,not_available,Antwerpen,Emblem
12829.0,not_available,Antwerpen,Antwerpen
12836.0,not_available,Antwerpen,Brasschaat
12837.0,not_available,Bruxelles-Brussel,Elsene
12840.0,not_available,Antwerpen,Tisselt
12841.0,not_available,Oost-Vlaanderen,Kruibeke
12842.0,not_available,Vlaams-Brabant,Diegem
12844.0,not_available,Antwerpen,Antwerpen
12847.0,not_available,West-Vlaanderen,Wevelgem
12849.0,not_available,West-Vlaanderen,Kortrijk
12850.0,not_available,Vlaams-Brabant,Londerzeel
12853.0,not_available,Vlaams-Brabant,Londerzeel
12854.0,not_available,West-Vlaanderen,Gullegem
12873.0,not_available,Luxembourg,Virton
12874.0,not_available,Oost-Vlaanderen,Deinze
12876.0,not_available,Antwerpen,Kontich
12877.0,not_available,Luxembourg,Libramont-Chevigny
12878.0,not_available,Liège,Bressoux
12883.0,not_available,Antwerpen,Antwerpen
12884.0,not_available,Antwerpen,Antwerpen
12885.0,not_available,Antwerpen,Antwerpen
12886.0,not_available,Antwerpen,Antwerpen
12887.0,not_available,Antwerpen,Antwerpen
12888.0,not_available,Antwerpen,Antwerpen
12889.0,not_available,Oost-Vlaanderen,Sint-Denijs-Westrem
12890.0,not_available,Antwerpen,Heist-op-den-Berg
12891.0,not_available,Vlaams-Brabant,Herent
12892.0,not_available,Antwerpen,Puurs
12895.0,not_available,Vlaams-Brabant,Groot-Bijgaarden
12896.0,not_available,Antwerpen,Antwerpen
12897.0,not_available,Antwerpen,Berchem
12898.0,not_available,Limburg,Grote-Brogel
12900.0,not_available,Antwerpen,Antwerpen
12901.0,not_available,Oost-Vlaanderen,Sint-Denijs-Westrem
12902.0,not_available,Vlaams-Brabant,Aarschot
12904.0,not_available,Namur,Jambes 
12910.0,not_available,Liège,Grace-Hollogne
12911.0,not_available,Vlaams-Brabant,Langdorp
12912.0,not_available,Oost-Vlaanderen,Ronse
12913.0,not_available,Oost-Vlaanderen,Ronse
12914.0,not_available,Oost-Vlaanderen,Ronse
12915.0,not_available,Oost-Vlaanderen,Ronse
12916.0,not_available,Oost-Vlaanderen,Ronse
12917.0,not_available,Oost-Vlaanderen,Ronse
12918.0,not_available,Oost-Vlaanderen,Ronse
12919.0,not_available,Oost-Vlaanderen,Ronse
12920.0,not_available,Antwerpen,Herselt
12921.0,not_available,Antwerpen,Weelde
12922.0,not_available,Vlaams-Brabant,Wolvertem
12923.0,not_available,Oost-Vlaanderen,Merelbeke
12925.0,not_available,Limburg,Alken
12926.0,not_available,Vlaams-Brabant,Tienen
12927.0,not_available,Oost-Vlaanderen,Lebbeke
12928.0,not_available,West-Vlaanderen,Izegem
12929.0,not_available,Vlaams-Brabant,Leuven
12930.0,not_available,Vlaams-Brabant,Bierbeek
12931.0,not_available,Hainaut,Haine-Saint-Paul
12932.0,not_available,Vlaams-Brabant,Sint-Pieters-Leeuw
12933.0,not_available,Antwerpen,Lier
12934.0,not_available,Antwerpen,Duffel
12935.0,not_available,Liège,Momalle
12936.0,not_available,Antwerpen,Wijnegem
12937.0,not_available,Antwerpen,Antwerpen
12938.0,not_available,Liège,Luik
12939.0,not_available,Limburg,Hasselt
12940.0,not_available,Bruxelles-Brussel,Brussel
12971.0,not_available,Hainaut,Seneffe
102995.0,not_available,Antwerpen,Vorselaar
103004.0,not_available,Antwerpen,Aartselaar
103008.0,not_available,Liège,LIEGE
103009.0,not_available,Antwerpen,Tielen
103010.0,not_available,Bruxelles-Brussel,Evere
13014.0,not_available,Bruxelles-Brussel,Evere
13018.0,not_available,Antwerpen,Puurs
13019.0,not_available,Limburg,Tongeren
13020.0,not_available,Vlaams-Brabant,Drogenbos
13051.0,not_available,Liège,Visé 
13061.0,not_available,Antwerpen,Wijnegem
13065.0,not_available,Brabant Wallon,Nivelles
13069.0,not_available,Brabant Wallon,Waterloo
13099.0,not_available,Bruxelles-Brussel,Anderlecht
13105.0,not_available,Vlaams-Brabant,Groot Bijgaarden
13127.0,not_available,Luxembourg,Habay
13132.0,not_available,Oost-Vlaanderen,Erpe-Mere
13133.0,not_available,Liège,Henri-Chapelle
13151.0,not_available,West-Vlaanderen,Aarsele
13161.0,not_available,Oost-Vlaanderen,Desteldonk
13166.0,not_available,Vlaams-Brabant,Halle
13167.0,not_available,Vlaams-Brabant,Zaventem
13168.0,not_available,Vlaams-Brabant,Zaventem
13169.0,not_available,Antwerpen,Mechelen
13170.0,not_available,Brabant Wallon,Nivelles
13174.0,not_available,Antwerpen,Brasschaat
13183.0,not_available,Limburg,Tongeren
13216.0,not_available,Antwerpen,Rijkevorsel
13230.0,not_available,Antwerpen,Laakdal
13238.0,not_available,West-Vlaanderen,Wervik
13241.0,not_available,Antwerpen,Balen
13248.0,not_available,Limburg,Leopoldsburg
13253.0,not_available,West-Vlaanderen,Oostende
13267.0,not_available,Oost-Vlaanderen,Wetteren
13328.0,not_available,Liège,Boncelles
13338.0,not_available,Oost-Vlaanderen,LOKEREN
13339.0,not_available,Oost-Vlaanderen,Gent
13340.0,not_available,Bruxelles-Brussel,Sint-Lambrechts-Woluwe
13341.0,not_available,Hainaut,Mons
13342.0,not_available,Limburg,Tessenderlo
13343.0,not_available,Limburg,Tienen
13344.0,not_available,Oost-Vlaanderen,Asper
13345.0,not_available,Vlaams-Brabant,Ternat
13354.0,not_available,Oost-Vlaanderen,Sint-Niklaas
13357.0,not_available,Brabant Wallon,Nivelles
13359.0,not_available,Oost-Vlaanderen,Sint Niklaas
13362.0,not_available,Oost-Vlaanderen,Deinze
13364.0,not_available,West-Vlaanderen,Roeselare
13379.0,not_available,Liège,Baelen
13381.0,not_available,Hainaut,Froid Chapele
13383.0,not_available,Hainaut,Roeulx 
13404.0,not_available,Limburg,Ham
13407.0,not_available,Hainaut,Houdeng Goegnies
13408.0,not_available,Hainaut,LE Roeulx 
13409.0,not_available,Namur,Namur 
13410.0,not_available,Oost-Vlaanderen,Gent
13469.0,not_available,Vlaams-Brabant,Anderlecht
13491.0,not_available,Hainaut,Luttre
13492.0,not_available,Hainaut,Luttre
13494.0,not_available,Vlaams-Brabant,GROOT-BIJGAARDEN
13496.0,not_available,West-Vlaanderen,Kachtem
13498.0,not_available,Namur,Namur
13499.0,not_available,Namur,Namur 
13500.0,not_available,Liège,Luik 
13509.0,not_available,Limburg,Alken
13513.0,not_available,Hainaut,Houdeng-Goegnies 
13533.0,not_available,Bruxelles-Brussel,Molenbeek
13534.0,not_available,Bruxelles-Brussel,Molenbeek
13555.0,not_available,West-Vlaanderen,Izegem
13556.0,not_available,Limburg,KINROOI
13562.0,not_available,Antwerpen,Edegem
13570.0,not_available,Limburg,Maasmechelen
13588.0,not_available,Limburg,Hasselt
13612.0,not_available,Antwerpen,Balen
13616.0,not_available,West-Vlaanderen,Kortrijk
13618.0,not_available,Vlaams-Brabant,Anderlecht
13619.0,not_available,Oost-Vlaanderen,Destelbergen
13629.0,not_available,Oost-Vlaanderen,Gent
13636.0,not_available,Namur,Jambes
13637.0,not_available,Namur,Namur 
13638.0,not_available,Antwerpen,Boom
13653.0,not_available,Limburg,Hasselt
13659.0,not_available,Vlaams-Brabant,Brussel
13663.0,not_available,Hainaut,Leuze-en-Hainaut
13668.0,not_available,Limburg,maaseik
13699.0,not_available,Antwerpen,Mechelen
13700.0,not_available,Antwerpen,Mechelen
13702.0,not_available,Namur,Onhaye
